TF	homer_db	enformer_db	cistrome_db	cistrome_files
AATF	0	0	0	0
ADNP	0	0	0	0
ADNP2	0	0	0	0
AEBP2	0	0	0	0
AFF1	0	0	0	0
AFF4	0	0	0	0
AGO1	0	0	0	0
AGO2	0	0	0	0
AHCTF1	0	0	0	0
AHR	0	0	0	0
AHRR	0	0	0	0
ALKBH3	0	0	0	0
ALX4	0	0	0	0
anti-ATF4 (sc-200)	0	0	0	0
AP1	1	0	0	0
AP2	1	0	0	0
AP2GAMMA	1	0	0	0
AP4	1	0	0	0
APOBEC3B	0	0	0	0
AR	1	0	1	361
ARE	1	0	0	0
ARHGAP35	0	0	0	0
ARID1A	0	0	0	0
ARID1B	0	0	0	0
ARID2	0	0	0	0
ARID3A	0	0	0	0
ARID3B	0	0	0	0
ARID4B	0	0	0	0
ARID5B	0	0	0	0
ARNT	1	1	1	6
ARNT2	0	0	0	0
ARNTL	0	0	0	0
ARNTL2	0	0	0	0
ARRB1	0	0	0	0
ASCL1	1	0	1	25
ASCL2	1	1	1	1
ASH1L	0	0	0	0
ASH2L	0	0	0	0
ASXL1	0	0	0	0
ASXL2	0	0	0	0
ATF1	1	1	1	10
ATF2	1	1	1	8
ATF3	1	1	1	23
ATF4	1	1	1	9
ATF5	0	0	0	0
ATF6	0	0	0	0
ATF7	1	1	1	2
ATF7IP	0	0	0	0
ATM	0	0	0	0
ATOH1	1	1	1	1
ATRX	0	0	0	0
AUTS2	0	0	0	0
BACH1	1	1	1	5
BACH2	1	0	1	5
BAHD1	0	0	0	0
BANF1	0	0	0	0
BANP	0	0	0	0
BAPX1	1	0	0	0
BARHL1	0	0	0	0
BARX1	1	0	1	2
BARX2	0	0	0	0
BATF	1	1	1	4
BATF3	1	0	1	2
BBX	0	0	0	0
BCAT1	0	0	0	0
BCL11A	1	1	1	13
BCL11B	0	0	0	0
BCL3	0	0	0	0
BCL6	1	1	1	16
BCL6B	0	0	0	0
BCLAF1	0	0	0	0
BCOR	0	0	0	0
BDP1	0	0	0	0
BHLHA15	1	0	0	0
BHLHE40	1	1	1	8
BHLHE41	1	0	1	1
BIRA	0	0	0	0
BMAL	1	0	0	0
BMAL1	0	0	0	0
BMI1	0	0	0	0
BMYB	1	0	0	0
BORIS	1	0	0	0
BPTF	0	0	0	0
BRACHYURY	1	0	0	0
BRAF	0	0	0	0
BRCA1	0	0	0	0
BRD1	0	0	0	0
BRD2	0	0	0	0
BRD3	0	0	0	0
BRD4	0	0	0	0
BRD7	0	0	0	0
BRD9	0	0	0	0
BRDU	0	0	0	0
BRF1	0	0	0	0
BRF2	0	0	0	0
BRN1	1	0	0	0
BRN2	1	0	0	0
BRPF3	0	0	0	0
BTAF1	0	0	0	0
BTF3	0	0	0	0
BZIP	1	0	0	0
C10orf12	0	0	0	0
C11orf30	0	0	0	0
C17orf49	0	0	0	0
C17orf96	0	0	0	0
CAMTA1	0	0	0	0
CAMTA2	0	0	0	0
CARM1	0	0	0	0
CASP8AP2	0	0	0	0
CASZ1	0	0	0	0
CBFA2T2	0	0	0	0
CBFA2T3	0	0	0	0
CBFB	0	0	0	0
CBX1	0	0	0	0
CBX2	0	0	0	0
CBX3	0	0	0	0
CBX4	0	0	0	0
CBX5	0	0	0	0
CBX6	0	0	0	0
CBX7	0	0	0	0
CBX8	0	0	0	0
CC2D1A	0	0	0	0
CCAR2	0	0	0	0
CCDC101	0	0	0	0
CCND2	0	0	0	0
CCNT1	0	0	0	0
CCNT2	0	0	0	0
CD59	0	0	0	0
CD74	0	0	0	0
CDC5L	0	0	0	0
CDCA2	0	0	0	0
CDK12	0	0	0	0
CDK2	0	0	0	0
CDK6	0	0	0	0
CDK7	0	0	0	0
CDK8	0	0	0	0
CDK9	0	0	0	0
CDKN1B	0	0	0	0
CDX1	0	0	0	0
CDX2	1	0	1	10
CDX4	1	0	0	0
CEBP	1	0	0	0
CEBPA	0	0	0	0
CEBPb	0	0	0	0
CEBPB	0	0	0	0
CEBPD	0	0	0	0
CEBPE	0	0	0	0
CEBPG	0	0	0	0
CEBPZ	0	0	0	0
CENPC	0	0	0	0
CENPT	0	0	0	0
CGGBP1	0	0	0	0
CHAMP1	0	0	0	0
CHAT	0	0	0	0
CHD1	0	0	0	0
CHD2	0	0	0	0
CHD3	0	0	0	0
CHD4	0	0	0	0
CHD5	0	0	0	0
CHD7	0	0	0	0
CHD8	0	0	0	0
CHOP	1	0	0	0
CHR	1	0	0	0
CHRM2	0	0	0	0
CIC	0	0	0	0
CIITA	0	0	0	0
CLOCK	1	1	1	7
CMYC	1	0	0	0
CNOT3	0	0	0	0
COIL	0	0	0	0
COPS2	0	0	0	0
COUPTF1	1	0	0	0
COUPTF2	1	0	0	0
CPSF3L	0	0	0	0
CRAP	1	0	0	0
CRE	1	0	0	0
CREB1	0	0	0	0
CREB3	0	0	0	0
CREB3L1	0	0	0	0
CREB3L2	0	0	0	0
CREB3L4	0	0	0	0
CREB5	1	0	0	0
CREBBP	0	0	0	0
CREBL2	0	0	0	0
CREM	0	0	0	0
CRX	1	0	0	0
CRY1	0	0	0	0
CSDE1	0	0	0	0
CSNK2A1	0	0	0	0
CTBP1	0	0	0	0
CTBP2	0	0	0	0
CTCF	1	1	1	515
CTCFL	0	0	0	0
CTNNB1	0	0	0	0
CUX1	1	1	1	13
CUX2	1	0	0	0
DACH1	0	0	0	0
DACOR1	0	0	0	0
DAXX	0	0	0	0
DBP	0	0	0	0
DCP1A	0	0	0	0
DDIT3	0	0	0	0
DDX11	0	0	0	0
DDX20	0	0	0	0
DDX21	0	0	0	0
DDX5	0	0	0	0
DEAF1	0	0	0	0
DEK	0	0	0	0
DICER1	0	0	0	0
DIDO1	0	0	0	0
DISTAL	1	0	0	0
DKK1	0	0	0	0
DLX1	1	1	1	1
DLX2	1	0	1	1
DLX3	1	0	0	0
DLX4	0	0	0	0
DLX5	1	0	0	0
DLX6	0	0	0	0
DMAP1	0	0	0	0
DMC1	1	0	1	1
DMRT1	1	0	1	1
DMRT2	0	0	0	0
DMRT6	1	0	0	0
DNMT1	0	0	0	0
DNMT3A	0	0	0	0
DNMT3B	0	0	0	0
DOT1L	0	0	0	0
DPF1	0	0	0	0
DPF2	0	0	0	0
DPPA2	0	0	0	0
DR0	1	0	0	0
DR1	0	0	0	0
DR5	1	0	0	0
DRAP1	0	0	0	0
DROSHA	0	0	0	0
DUX	1	0	0	0
DUX4	1	0	1	4
DUXBL	1	0	0	0
DYRK1A	0	0	0	0
E2A	1	0	0	0
E2F	1	0	0	0
E2F1	1	1	1	44
E2F2	0	0	0	0
E2F3	1	1	1	2
E2F4	1	1	1	12
E2F5	0	0	0	0
E2F6	1	1	1	6
E2F7	1	1	1	9
E2F8	0	0	0	0
E47	1	0	0	0
E4F1	0	0	0	0
EBF	1	0	0	0
EBF1	0	0	0	0
EBF2	1	0	0	0
EBF3	0	0	0	0
EBNA1	1	0	0	0
EBNA1BP2	0	0	0	0
EBNA2	0	0	0	0
EBNA3	0	0	0	0
EBNA3A	0	0	0	0
EBNA3C	0	0	0	0
EBOX	1	0	0	0
EED	0	0	0	0
EGFA-T1	0	0	0	0
EGFR	0	0	0	0
EGLN2	0	0	0	0
EGR1	1	1	1	10
EGR2	1	1	1	7
EGR3	0	0	0	0
EHF	1	1	1	6
EHMT2	0	0	0	0
EKLF	1	0	0	0
ELF1	1	1	1	20
ELF2	0	0	0	0
ELF3	1	1	1	4
ELF4	1	1	1	1
ELF5	1	0	1	2
ELK1	1	1	1	10
ELK3	0	0	0	0
ELK4	1	0	1	7
ELL	0	0	0	0
ELL2	0	0	0	0
EMSY	0	0	0	0
EMX1	0	0	0	0
EN1	1	0	0	0
EOMES	1	0	1	6
EP300	0	0	0	0
EP400	0	0	0	0
EPAS1	0	0	0	0
EPC1	0	0	0	0
EPO	0	0	0	0
ERCC2	0	0	0	0
ERCC3	0	0	0	0
ERCC6	0	0	0	0
ERE	1	0	0	0
ERF	0	0	0	0
ERG	1	0	1	55
ERM	0	0	0	0
ERRA	1	0	0	0
ERRG	1	0	0	0
ESCO2	0	0	0	0
ESR1	0	0	0	0
ESRRA	0	0	0	0
ESRRB	1	0	0	0
ETS	1	0	0	0
ETS1	1	1	1	27
ETS2	0	0	0	0
ETV1	1	1	1	5
ETV2	1	0	0	0
ETV4	1	1	1	4
ETV5	0	0	0	0
ETV6	0	0	0	0
ETV7	0	0	0	0
EVI1	0	0	0	0
EVX1	0	0	0	0
EWS	1	0	0	0
EWSR1	0	0	0	0
EXTRAS	1	0	0	0
EZH1	0	0	0	0
EZH2	0	0	0	0
EZH2phosphoT487	0	0	0	0
F2RL1	0	0	0	0
